date,open,high,low,close,volume,openinterest
2024-01-02,100.50,101.20,99.80,100.90,12000,0
2024-01-03,100.90,102.40,100.60,102.10,15000,0
2024-01-04,102.10,103.00,101.70,102.80,11000,0
2024-01-05,102.80,104.20,102.50,103.90,14000,0
2024-01-08,103.90,105.10,103.60,104.70,13000,0
2024-01-09,104.70,105.80,104.20,105.50,16000,0
2024-01-10,105.50,106.20,104.90,105.10,12000,0
2024-01-11,105.10,105.90,103.80,104.20,17000,0
2024-01-12,104.20,105.00,103.10,103.50,15000,0
2024-01-15,103.50,104.40,102.90,104.10,11000,0
2024-01-16,104.10,105.60,103.90,105.40,14000,0
2024-01-17,105.40,106.80,105.10,106.50,18000,0
